ID,species,year,month,sex,SL,mass,alleles,genotype,Gen_freq_all,Gen_freq_species,avg_freq_species,avg_freq_all,freq_rare_species,freq_rare_all,phenotype,num_supertype,supertype,freq_super_species,freq_super_all,gill,acantho,,,
EFCC10_10132018,fantail,2018,October,,,1.07,3,001/024/025,0.003,0.009,,,,,,2,1/4,,,1,,,,
EFCC11_10132018,fantail,2018,October,,,0.42,1,026,0.019,0.055,,,,,,1,4,,,3,,,,uv parasite burdens
EFCC1_07082017,fantail,2017,July,M,52,1.86,1,026,0.019,0.055,,,,,,1,4,,,11,,,,hi
EFCC1_10132018,fantail,2018,October,,,0.48,2,001/012,0.006,0.018,,,,,,2,3/4,,,10,,,,seasonal month 
EFCC2_0708017,fantail,2017,July,,44.3,1.1,1,027,0.003,0.009,,,,,,1,1,,,0,,,,species
EFCC2_10132018,fantail,2018,October,,,0.6,2,024/028,0.009,0.028,,,,,,1,1,,,1,,,,sex standard length mass
EFCC4-11112017,fantail,2017,November,M,51.2,1.96,4,025/026/029/030,0.003,0.009,,,,,,2,1/4,,,,,,,more alleals beter?
EFCC4_07082017,fantail,2017,July,M,42.1,1.06,2,025/026,0.006,0.018,,,,,,2,1/4,,,0,,,,jk
EFCC4_10132018,fantail,2018,October,,,0.43,2,001/012,0.006,0.018,,,,,,2,3/4,,,0,,,,
EFCC5-11112017,fantail,2017,November,M,45.1,1.32,2,026/031,0.003,0.009,,,,,,2,1/4,,,,,,,
EFCC5_07082017,fantail,2017,July,,43.6,1,2,001/025,0.003,0.009,,,,,,2,1/4,,,2,,,,
EFCC6_10132018,fantail,2018,October,,,1.03,5,001/012/024/026/123,0.003,0.009,,,,,,3,1/3/4,,,4,,,,
EFCC8_07082017,fantail,2017,July,M,61.2,2.92,1,025,0.003,0.009,,,,,,1,1,,,0,,,,
EFCC8_10132018,fantail,2018,October,,,1.86,2,001/024,0.003,0.009,,,,,,2,1/4,,,2,,,,
EFCC9_10132018,fantail,2018,October,,,0.9,2,026/028,0.003,0.009,,,,,,2,1/4,,,0,,,,
EFCC13_4062019,fantail,2019,April,,,,1,026,0.019,0.055,,,,,,1,4,,,,,,,
EFCC16_4062019,fantail,2019,April,,,,2,026/050,0.006,0.018,,,,,,2,1/4,,,,,,,
EFCC4_4212019,fantail,2019,April,F,49.87,2.1,1,028,0.032,0.083,,,,,,1,1,,,1,0,,,
